text,label
Healing at the Academy Convenience Store academy brother complex business management chuunibyou clever protagonist cooking crafting dense protagonist dragons dungeons dwarfs elves engagement evil organizations fantasy world game elements gamers level system male protagonist misunderstandings mob protagonist nobles reincarnated in a game world reincarnation royalty store owner strong love interests student council tsundere weak protagonist,0
I Went to the Wrong Blind Date Table and Got Kidnapped by My Date beautiful female lead clever protagonist conditional power crime detectives forced into a relationship investigations male protagonist police pretend lovers previous life talent reincarnated in another world reincarnation special abilities system administrator,0
Yandere Megami No Hakoniwa beautiful female lead cheats early romance emotionally weak protagonist first time interc rse game elements gods gore level system male protagonist naive protagonist obsessive love polygamy possessive characters r 18 reverse r pe s x s aves s aves strong love interests sword and magic threesome transported to another world yandere younger love interests,0
Wind Rises in Dragon City apocalypse arms dealers clever protagonist criminals drugs gangs male protagonist organized crime post apocalyptic,0
Saikyou Mahoushi no Inton Keikaku LN adapted to manga clever protagonist cold protagonist demons fantasy world genius protagonist hiding true abilities human experimentation lack of common sense magical technology male protagonist overpowered protagonist protagonist strong from the start secret identity special abilities strength based social hierarchy unique weapon user,0
Nanashi no Satsujinki wa Isekai de Kyou mou Warau firearms male protagonist,0
Heimarian Odyssey adopted children adventurers antihero protagonist aristocracy army average looking protagonist beast companions brotherhood calm protagonist charismatic protagonist cosmic wars cousins cruel characters cultivation demi humans depictions of cruelty doting love interests doting older siblings early romance empires family fanfiction fantasy creatures fantasy world generals guilds incest kingdom building knights loyal subordinates magic maids male protagonist master disciple relationship master servant relationship mature protagonist medieval military monsters multiple pov nationalism nobles older love interests politics polygamy pragmatic protagonist pregnancy romantic subplot royalty r pe ruthless protagonist s x s aves s aves strength based social hierarchy strong to stronger wars wizards,0
Last Embryo Side Story Compilation animal characteristics folklore godly powers loli magic mythology parallel worlds special abilities,0
Granblue Fantasy beasts monsters sword and magic,0
The Return of the Condor Heroes adapted to anime adapted to drama adapted to manhua clever protagonist male protagonist quirky characters romantic subplot r pe weak to strong,0
God Of Soul System age progression beautiful female lead cheats cultivation determined protagonist fanfiction fast cultivation fast learner fleet battles game elements genius protagonist god protagonist handsome male lead hard working protagonist humanoid protagonist level system male protagonist mature protagonist military multiple realms ninjas overpowered protagonist parody pirates race change romantic subplot ruthless protagonist special abilities sword wielder system administrator transported to another world underestimated protagonist unique cultivation technique wars weak to strong world hopping world travel,0
