text,label
Anger burned in his eyes like fire.,0
Love bloomed in every glance.,3
他屏住呼吸，静静地听着声音。,1
她害怕地缩在角落里。,1
他坐在那里，沉默不语。,5
Anger burned in his eyes like fire.,0
Fear gripped her like icy chains.,1
他屏住呼吸，静静地听着声音。,1
Joy overflowed from her like a summer breeze.,2
Tears streamed down his cheeks in silence.,5
His fists clenched with unspoken rage.,0
Her heart raced as shadows moved.,1
他的眼睛闪耀着快乐的光芒。,2
他们的目光中充满柔情。,3
她害怕地缩在角落里。,1
他静静地阅读。,4
他们的目光中充满柔情。,3
她脸上的愤怒显而易见。,0
Joy overflowed from her like a summer breeze.,2
风轻轻地吹着。,4
黑暗让他感到不安。,1
他怒吼着摔门而去。,0
他的眼睛闪耀着快乐的光芒。,2
他的拳头紧握着。,0
Clouds drifted across the sky.,4
Love bloomed in every glance.,3
他静静地阅读。,4
She smiled brightly as the sun kissed her face.,2
她害怕地缩在角落里。,1
Love bloomed in every glance.,3
她静静地哭泣。,5
His fists clenched with unspoken rage.,0
他们紧紧相拥。,3
她脸上的愤怒显而易见。,0
她微笑着迎接新的一天。,2
Clouds drifted across the sky.,4
她微笑着迎接新的一天。,2
Fear gripped her like icy chains.,1
"She held the old photo, lost in sorrow.",5
Anger burned in his eyes like fire.,0
他的眼睛闪耀着快乐的光芒。,2
她静静地哭泣。,5
Joy overflowed from her like a summer breeze.,2
Her heart beat only for him.,3
她脸上的愤怒显而易见。,0
Joy overflowed from her like a summer breeze.,2
阳光照进了房间。,4
风轻轻地吹着。,4
The book lay open on the table.,4
他们紧紧相拥。,3
Tears streamed down his cheeks in silence.,5
他们的目光中充满柔情。,3
他静静地阅读。,4
Love bloomed in every glance.,3
他的拳头紧握着。,0
He trembled at the sound in the dark.,1
Clouds drifted across the sky.,4
The book lay open on the table.,4
他们紧紧相拥。,3
他的拳头紧握着。,0
He trembled at the sound in the dark.,1
她害怕地缩在角落里。,1
他怒吼着摔门而去。,0
She slammed the door and shouted in fury.,0
他怒吼着摔门而去。,0
Joy overflowed from her like a summer breeze.,2
他怒吼着摔门而去。,0
阳光照进了房间。,4
他静静地阅读。,4
黑暗让他感到不安。,1
Anger burned in his eyes like fire.,0
She walked through the park in silence.,4
他的眼睛闪耀着快乐的光芒。,2
They held hands under the starry sky.,3
His fists clenched with unspoken rage.,0
他的拳头紧握着。,0
阳光照进了房间。,4
他的眼睛闪耀着快乐的光芒。,2
他们紧紧相拥。,3
她微笑着迎接新的一天。,2
笑声在屋里回荡。,2
Clouds drifted across the sky.,4
他的眼睛闪耀着快乐的光芒。,2
风轻轻地吹着。,4
Clouds drifted across the sky.,4
笑声在屋里回荡。,2
她微笑着迎接新的一天。,2
She smiled brightly as the sun kissed her face.,2
Her heart raced as shadows moved.,1
She smiled brightly as the sun kissed her face.,2
She smiled brightly as the sun kissed her face.,2
He laughed until his sides ached.,2
风轻轻地吹着。,4
他的拳头紧握着。,0
阳光照进了房间。,4
他的拳头紧握着。,0
她的爱溢于言表。,3
Her heart raced as shadows moved.,1
悲伤笼罩了整个房间。,5
他坐在那里，沉默不语。,5
Her heart raced as shadows moved.,1
She walked through the park in silence.,4
Her heart raced as shadows moved.,1
他们紧紧相拥。,3
她害怕地缩在角落里。,1
Her heart beat only for him.,3
She smiled brightly as the sun kissed her face.,2
他屏住呼吸，静静地听着声音。,1
她脸上的愤怒显而易见。,0
He laughed until his sides ached.,2
The house felt empty without him.,5
她微笑着迎接新的一天。,2
他的眼睛闪耀着快乐的光芒。,2
他们的目光中充满柔情。,3
He laughed until his sides ached.,2
他们的目光中充满柔情。,3
阳光照进了房间。,4
她微笑着迎接新的一天。,2
她的爱溢于言表。,3
她脸上的愤怒显而易见。,0
She walked through the park in silence.,4
Her heart beat only for him.,3
他的眼睛闪耀着快乐的光芒。,2
"She held the old photo, lost in sorrow.",5
His fists clenched with unspoken rage.,0
笑声在屋里回荡。,2
Tears streamed down his cheeks in silence.,5
他的拳头紧握着。,0
他怒吼着摔门而去。,0
Anger burned in his eyes like fire.,0
Joy overflowed from her like a summer breeze.,2
The house felt empty without him.,5
He laughed until his sides ached.,2
他的眼睛闪耀着快乐的光芒。,2
他静静地阅读。,4
他怒吼着摔门而去。,0
他坐在那里，沉默不语。,5
She smiled brightly as the sun kissed her face.,2
她的爱溢于言表。,3
Fear gripped her like icy chains.,1
Fear gripped her like icy chains.,1
"She held the old photo, lost in sorrow.",5
Clouds drifted across the sky.,4
Joy overflowed from her like a summer breeze.,2
Fear gripped her like icy chains.,1
她的爱溢于言表。,3
The house felt empty without him.,5
她脸上的愤怒显而易见。,0
他的拳头紧握着。,0
他们的目光中充满柔情。,3
她的爱溢于言表。,3
She smiled brightly as the sun kissed her face.,2
Fear gripped her like icy chains.,1
Anger burned in his eyes like fire.,0
Anger burned in his eyes like fire.,0
His fists clenched with unspoken rage.,0
"She held the old photo, lost in sorrow.",5
Tears streamed down his cheeks in silence.,5
Clouds drifted across the sky.,4
She smiled brightly as the sun kissed her face.,2
他们紧紧相拥。,3
他静静地阅读。,4
His fists clenched with unspoken rage.,0
她脸上的愤怒显而易见。,0
She slammed the door and shouted in fury.,0
Tears streamed down his cheeks in silence.,5
黑暗让他感到不安。,1
她静静地哭泣。,5
Anger burned in his eyes like fire.,0
Her heart beat only for him.,3
他的眼睛闪耀着快乐的光芒。,2
Tears streamed down his cheeks in silence.,5
Anger burned in his eyes like fire.,0
The house felt empty without him.,5
她的爱溢于言表。,3
They held hands under the starry sky.,3
她害怕地缩在角落里。,1
阳光照进了房间。,4
The book lay open on the table.,4
黑暗让他感到不安。,1
Her heart raced as shadows moved.,1
她静静地哭泣。,5
他坐在那里，沉默不语。,5
The book lay open on the table.,4
He trembled at the sound in the dark.,1
她静静地哭泣。,5
她的爱溢于言表。,3
She smiled brightly as the sun kissed her face.,2
他们紧紧相拥。,3
笑声在屋里回荡。,2
"She held the old photo, lost in sorrow.",5
Her heart beat only for him.,3
他们紧紧相拥。,3
他的眼睛闪耀着快乐的光芒。,2
Fear gripped her like icy chains.,1
Joy overflowed from her like a summer breeze.,2
她静静地哭泣。,5
The book lay open on the table.,4
她的爱溢于言表。,3
风轻轻地吹着。,4
She slammed the door and shouted in fury.,0
"She held the old photo, lost in sorrow.",5
"She held the old photo, lost in sorrow.",5
她微笑着迎接新的一天。,2
She slammed the door and shouted in fury.,0
风轻轻地吹着。,4
They held hands under the starry sky.,3
He trembled at the sound in the dark.,1
Her heart beat only for him.,3
Tears streamed down his cheeks in silence.,5
黑暗让他感到不安。,1
Her heart beat only for him.,3
She slammed the door and shouted in fury.,0
笑声在屋里回荡。,2
Clouds drifted across the sky.,4
She walked through the park in silence.,4
Joy overflowed from her like a summer breeze.,2
He trembled at the sound in the dark.,1
她脸上的愤怒显而易见。,0
His fists clenched with unspoken rage.,0
笑声在屋里回荡。,2
他屏住呼吸，静静地听着声音。,1
Her heart raced as shadows moved.,1
笑声在屋里回荡。,2
她害怕地缩在角落里。,1
His fists clenched with unspoken rage.,0
她微笑着迎接新的一天。,2
His fists clenched with unspoken rage.,0
他的拳头紧握着。,0
Anger burned in his eyes like fire.,0
悲伤笼罩了整个房间。,5
She smiled brightly as the sun kissed her face.,2
她的爱溢于言表。,3
Her heart raced as shadows moved.,1
他静静地阅读。,4
他的眼睛闪耀着快乐的光芒。,2
He trembled at the sound in the dark.,1
他怒吼着摔门而去。,0
She smiled brightly as the sun kissed her face.,2
他怒吼着摔门而去。,0
她的爱溢于言表。,3
The book lay open on the table.,4
His fists clenched with unspoken rage.,0
她微笑着迎接新的一天。,2
他坐在那里，沉默不语。,5
风轻轻地吹着。,4
她静静地哭泣。,5
风轻轻地吹着。,4
Her heart raced as shadows moved.,1
The book lay open on the table.,4
Her heart raced as shadows moved.,1
The house felt empty without him.,5
她静静地哭泣。,5
她害怕地缩在角落里。,1
他的眼睛闪耀着快乐的光芒。,2
她静静地哭泣。,5
The house felt empty without him.,5
他坐在那里，沉默不语。,5
黑暗让他感到不安。,1
他静静地阅读。,4
风轻轻地吹着。,4
风轻轻地吹着。,4
他的拳头紧握着。,0
他们的目光中充满柔情。,3
Her heart beat only for him.,3
Tears streamed down his cheeks in silence.,5
Fear gripped her like icy chains.,1
They held hands under the starry sky.,3
